organisation;departement;address1;address2;zipcode;city;phone;insuranceLink;email;insuranceGLN;recepientGLN;XMLInsuranceName;lawCode;TP_elektronisch;changebillingtypedesc;mediportstatusdesc
Aargauische Gebäudeversicherung (AGV);;Bleichemattstrasse 12/14;Postfach;5001;Aarau;0848 836 800;www.agv-ag.ch;unfall@agv-ag.ch;7.601E+12;7.601E+12;Aargauische Gebäudeversicherung;UVG;Ja;X;an MediPort angeschlossen
Agrisano Krankenkasse AG;;Laurstrasse 10;;5201;Brugg;056 461 71 11;www.agrisano.ch;daten@agrisano.ch;7.601E+12;7.601E+12;Agrisano;KVG;Ja;Ja;an MediPort angeschlossen
Agrisano Krankenkasse AG (UVG);;Laurstrasse 10;;5201;Brugg;056 461 71 11;www.agrisano.ch;daten@agrisano.ch;7.601E+12;7.601E+12;Agrisano Krankenkasse ;UVG;Ja;X;an MediPort angeschlossen
Allianz Suisse;;;Postfach;8010;Zürich;058 358 71 11;www.allianz-suisse.ch;contact@allianz-suisse.ch;7.601E+12;7.601E+12;Allianz Suisse;UVG;Ja;X;an MediPort angeschlossen
AMB Assurances;;Route de Verbier 13;;1934;Le Châble;058 758 60 70;www.amb-assurance.ch;info@amb-assurance.ch;7.601E+12;7.601E+12;Groupe Mutuel;KVG;Ja;Ja;an MediPort angeschlossen
Amt für Gesundheit;;Aeulestrasse 51;;9490;Vaduz;+423 236 73 40;;derya.kesci@llv.li;7.601E+12;7.601E+12;Amt für Gesundheit;KVG;Ja;Ja;an MediPort angeschlossen
Aquilana Versicherungen;;Bruggerstrasse 46;Postfach;5401;Baden;056 203 44 44;www.aquilana.ch;edi_auftraege@centrisag.ch;7.601E+12;7.601E+12;Aquilana Versicherungen;KVG;Ja;Ja;an MediPort angeschlossen
Arcosana;;Tribschenstrasse 21;;6002;Luzern;058 277 11 11;www.css.ch/edi;projekte.edi@css.ch;7.601E+12;7.601E+12;Arcosana;KVG;Ja;Ja;an MediPort angeschlossen
Assura-Basis SA;;Case Postale 9;;1052;Le Mont-Sur-Lausanne;0842 277 872;www.assura.ch;le.anbindung@centrisag.ch;7.601E+12;7.601E+12;Assura;KVG;Ja;Nein;an MediPort angeschlossen
Atupri Gesundheitsversicherung;;Zieglerstrasse 29;;3000;Bern 65;031 555 09 11;www.atupri.ch;franziska.zumbrunnen@atupri.ch;7.601E+12;7.601E+12;Atupri;KVG;Ja;Ja;an MediPort angeschlossen
